Title,Author,Publication date,Publisher,Language,Pages,Editions,Rating,Aggregate approval,Want to read,Currently reading,Have read
A New Lease of Death (Inspector Wexford #2),Ruth Rendell,-0.014703806057544844,Published for the Crime Club by Doubleday,English,-0.4229905631815769,-0.10379645898651477,4.0,-0.17329093600099582,-0.1199767744065613,-0.12708801542839973,-0.19681643602172674
Key of Knowledge,Nora Roberts,0.5227860355382301,Piatkus Books,,0.1659804531917369,-0.10379645898651477,3.67,-0.07923129082233109,0.00017894819950773705,-0.012788641123809825,0.13743583774507198
Paradis,Toni Morrison,0.43562552068486116,C. Bourgois,French,0.4104589882900936,-0.10379645898651477,3.0,-0.18670885970693943,0.03450915465838461,-0.012788641123809825,-0.15967729449208246
Cycle of the Werewolf,Stephen King,0.24677773850256185,Signet,English,-0.9008349726920013,-0.10379645898651477,3.5,0.6183665626496774,0.2782536205164104,0.5015585432468448,1.0659143759861796
Ein Anderes Wort Fur Liebe,Colleen McCullough,1.5580871205243187e-15,Wilhelm Goldmann Verlag GmbH,German,6.260288420793835e-17,-0.10379645898651477,0.0,-0.22696263082477028,-0.10967771246889825,-0.12708801542839973,-0.23395557755137106
The Witness for the Prosecution,Agatha Christie,0.24677773850256185,Berkley,English,-0.2785259742598207,-0.10379645898651477,0.0,-0.22696263082477028,-0.06504844407235832,-0.06993832827610479,-0.04825986990314954
The door in the wall,Marguerite de Angeli,-0.27618535061765154,Scholastic Inc.,English,-0.9452856154371571,-0.10379645898651477,3.83,0.08138125593781398,0.08943748499258761,0.15866042033307504,0.24885326233400487
Nate the Great,Marjorie Weinman Sharmat,0.26130449097812336,Putnam Juvenile,English,-1.3453414001435589,-0.10379645898651477,4.6,0.6988741048853391,0.26108851728697197,0.3872591689422549,1.1030535175158238
Music for chameleons : new writing,Truman Capote,1.5580871205243187e-15,,English,6.260288420793835e-17,-0.10379645898651477,5.0,-0.09278339376533414,-0.09594562988534751,-0.06993832827610479,-0.12253815296243814
The whole history of grandfather's chair. --,Nathaniel Hawthorne,-1.1187369942002177,"Houghton, Mifflin",,-0.42854689352472136,-0.10379645898651477,0.0,-0.22696263082477028,-0.123409795052449,-0.12708801542839973,-0.27109471908101535
Goblin Slayer Side Story,Kumo Kagyu,0.7261605701960908,Yen Press,,-0.36742725975013224,-0.10379645898651477,0.0,-0.22696263082477028,-0.11654375376067362,-0.12708801542839973,-0.27109471908101535
Orlando furioso secondo la princeps del 1516,Lodovico Ariosto,0.551839540489353,L.S. Olschki,Italian,4.338784540893234,-0.10379645898651477,0.0,-0.22696263082477028,-0.1268428156983367,-0.12708801542839973,-0.27109471908101535
"Tout Simenon, centenaire tome 5",Georges Simenon,0.4937325305871071,Omnibus,French,3.1663988384897506,-0.10379645898651477,0.0,-0.22696263082477028,-0.10967771246889825,-0.12708801542839973,-0.27109471908101535
Nine stories,J. D. Salinger,-0.1309178258620367,Modern Library,English,0.06596650701513646,-0.10379645898651477,4.16,0.8335900588930131,0.02077707207483386,-0.12708801542839973,0.8059403852786693
El temor de un hombre sabio,Patrick Rothfuss,0.6244733028671604,Plaza & Janés,Spanish,5.05555115515887,-0.10379645898651477,4.29,6.1049555660100205,0.35034705408005185,0.15866042033307504,5.1140808027174085
Miss or Mrs?,Wilkie Collins,-1.1042102417246562,Minverva Pub. Co.,English,-0.7063634106819449,-0.10379645898651477,0.0,-0.22696263082477028,-0.11311073311478594,-0.12708801542839973,-0.27109471908101535
Chicka chicka boom boom,Bill Martin Jr.,0.3048847484048078,Simon & Schuster Books for Young Readers,English,-1.4120173642612925,-0.10379645898651477,3.94,0.7246365184007508,1.0060539974446001,0.21581010748537,2.2172277634051527
Criadas y senoras,Kathryn Stockett,0.609946550391599,Embolsillo,Spanish,1.4939434052032652,-0.10379645898651477,4.33,4.130508092680418,2.0531252944403446,2.1588994706633984,4.185602264476301
The Fix,David Baldacci,0.7116338177205294,Grand Central Publishing,English,6.260288420793835e-17,-0.10379645898651477,4.5,-0.10620131747127774,-0.006687093092267637,-0.06993832827610479,-0.12253815296243814
